Label;degree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub;modularity_class;pageranks;clustering;triangles;eigencentrality;componentnumber
"уральская улица";32;32;5;0.309091;0.343137;0.000135;0.021788;0.021788;0;0.001003;0.780645;363;0.123487;0
16-я и 17-я линии в.о.;10;10;5;0.282502;0.30396;0;0.007185;0.007185;0;0.000448;1;45;0.040083;0
"набережная реки смоленки";10;10;5;0.282502;0.30396;0;0.007185;0.007185;0;0.000448;1;45;0.040083;0
"набережная макарова";25;25;5;0.308541;0.340254;0.000039;0.021072;0.021072;0;0.000839;0.866667;260;0.115074;0
"менделеевская линия";7;7;5;0.282227;0.30223;0;0.006944;0.006945;0;0.000352;1;21;0.036732;0
"мичманская улица";21;21;5;0.322785;0.352499;0;0.022426;0.022427;0;0.00073;1;210;0.114477;0
"морская набережная";21;21;5;0.322785;0.352499;0;0.022426;0.022427;0;0.00073;1;210;0.114477;0
"прибалтийская площадь";21;21;5;0.322785;0.352499;0;0.022426;0.022427;0;0.00073;1;210;0.114477;0
"набережная лейтенанта шмидта";34;34;4;0.372903;0.409362;0.000762;0.044672;0.044672;0;0.001058;0.650624;365;0.225379;0
"поцелуев мост";21;21;5;0.322785;0.352499;0;0.022426;0.022427;0;0.00073;1;210;0.114477;0
"лермонтовский проспект";85;85;4;0.412661;0.463091;0.024688;0.074652;0.074652;0;0.002686;0.259036;903;0.41217;0
"могилёвский мост";21;21;5;0.322785;0.352499;0;0.022426;0.022427;0;0.00073;1;210;0.114477;0
"египетский мост";21;21;5;0.322785;0.352499;0;0.022426;0.022427;0;0.00073;1;210;0.114477;0
"ново-петергофский мост";21;21;5;0.322785;0.352499;0;0.022426;0.022427;0;0.00073;1;210;0.114477;0
"площадь балтийского вокзала";58;58;5;0.3611;0.41065;0.002646;0.062264;0.062264;0;0.001769;0.396854;656;0.318961;0
"наличный мост";28;28;5;0.308871;0.341984;0.000073;0.021509;0.021509;0;0.000926;0.838624;317;0.118929;0
"средний проспект";28;28;5;0.308871;0.341984;0.000073;0.021509;0.021509;0;0.000926;0.838624;317;0.118929;0
"проспект добролюбова";56;56;5;0.36536;0.414571;0.002195;0.056239;0.05624;0;0.001638;0.476623;734;0.299084;0
"переулок талалихина";22;22;5;0.308212;0.338524;0;0.018858;0.018858;0;0.000745;1;231;0.103799;0
"переулок нестерова";22;22;5;0.308212;0.338524;0;0.018858;0.018858;0;0.000745;1;231;0.103799;0
"площадь льва толстого";31;31;5;0.349315;0.38564;0.001415;0.030219;0.030219;0;0.001008;0.610753;284;0.163417;0
"кожевенная линия";16;16;5;0.283056;0.30742;0;0.011559;0.011559;0;0.000606;0.991667;119;0.064135;0
"косая линия в.о.";16;16;5;0.283056;0.30742;0;0.011559;0.011559;0;0.000606;0.991667;119;0.064135;0
"железноводсая улица";15;15;5;0.282963;0.306844;0;0.011326;0.011326;0;0.000574;1;105;0.06262;0
"хасанская улица";66;66;4;0.396796;0.44579;0.00483;0.084084;0.084083;3;0.001924;0.355711;763;0.434094;0
"улица коммуны";99;99;4;0.425208;0.481642;0.026335;0.104356;0.104356;3;0.002938;0.237955;1131;0.563925;0
"проспект косыгина";36;36;4;0.373385;0.410707;0.00053;0.052031;0.052031;3;0.00112;0.542857;342;0.258086;0
"заневский проспект";131;131;4;0.454641;0.516628;0.033038;0.147709;0.147709;3;0.003719;0.214311;1797;0.78988;0
"заневский мост";24;24;4;0.368309;0.399942;0.000021;0.040209;0.040209;0;0.000776;0.800725;221;0.197006;0
"мост александра невского";49;49;4;0.389488;0.432045;0.000889;0.067918;0.067918;0;0.00143;0.446429;525;0.341041;0
"площадь александра невского";53;53;4;0.396796;0.438005;0.001191;0.074291;0.074291;0;0.001541;0.463716;639;0.371923;0
"площадь восстания";108;108;4;0.435023;0.495386;0.016146;0.132655;0.132656;1;0.003117;0.281412;1626;0.691052;0
"крестовский проспект";61;61;5;0.380931;0.425586;0.00547;0.043942;0.043942;0;0.001856;0.466667;826;0.256131;0
"рюхина улица";59;59;5;0.380931;0.425586;0.00547;0.043942;0.043942;0;0.001855;0.450614;771;0.250927;0
"морской проспект";59;59;5;0.380931;0.425586;0.00547;0.043942;0.043942;0;0.001855;0.450614;771;0.250927;0
"петроградская улица";40;40;5;0.354311;0.395386;0.000489;0.040561;0.040561;0;0.001232;0.646154;504;0.216939;0
"большой крестовский мост";40;40;5;0.354311;0.395386;0.000489;0.040561;0.040561;0;0.001232;0.646154;504;0.216939;0
"левашовский проспект";53;53;5;0.370988;0.417743;0.001783;0.055086;0.055087;0;0.001568;0.512337;706;0.293073;0
"площадь шевченко";23;23;5;0.338937;0.373664;0;0.027319;0.027319;0;0.000771;1;253;0.142891;0
"мытнинская набережная";23;23;5;0.338937;0.373664;0;0.027319;0.027319;0;0.000771;1;253;0.142891;0
"биржевой мост";36;36;5;0.360799;0.401115;0.000407;0.041844;0.041845;0;0.001108;0.684127;431;0.219025;0
"биржевая площадь";36;36;5;0.360799;0.401115;0.000407;0.041844;0.041845;0;0.001108;0.684127;431;0.219025;0
"малая морская улица";73;73;4;0.410317;0.460304;0.004699;0.101511;0.101511;0;0.002079;0.398402;1047;0.510099;0
"исаакиевская площадь";73;73;4;0.410317;0.460304;0.004699;0.101511;0.101511;0;0.002079;0.398402;1047;0.510099;0
"вознесенский проспект";23;23;5;0.338937;0.373664;0;0.027319;0.027319;0;0.000771;1;253;0.142891;0
"измайловский мост";23;23;5;0.338937;0.373664;0;0.027319;0.027319;0;0.000771;1;253;0.142891;0
"измайловский проспект";23;23;5;0.338937;0.373664;0;0.027319;0.027319;0;0.000771;1;253;0.142891;0
"троицкий проспект";23;23;5;0.338937;0.373664;0;0.027319;0.027319;0;0.000771;1;253;0.142891;0
"гранитная улица";92;92;5;0.43546;0.487197;0.014828;0.106255;0.106255;3;0.002741;0.279264;1169;0.566849;0
"проспект энергетиков";109;109;4;0.46117;0.514129;0.024017;0.132923;0.132922;3;0.003193;0.261638;1540;0.692256;0
"проспект маршала блюхера";52;52;4;0.422721;0.459919;0.005736;0.063332;0.063332;3;0.001663;0.38537;511;0.328024;0
"кантемировская улица";33;33;5;0.376793;0.411361;0.001244;0.035975;0.035975;3;0.001117;0.484848;256;0.194118;0
"кантемировской мост";10;10;5;0.342688;0.368339;0;0.013304;0.013304;3;0.000448;1;45;0.070011;0
"проспект медиков";10;10;5;0.342688;0.368339;0;0.013304;0.013304;3;0.000448;1;45;0.070011;0
"рыбацкая улица";51;51;5;0.371465;0.413668;0.003986;0.035761;0.035762;0;0.001667;0.469804;599;0.209795;0
"большая зеленина улица";51;51;5;0.371465;0.413668;0.003986;0.035761;0.035762;0;0.001667;0.469804;599;0.209795;0
"улица дыбенко";23;23;5;0.346939;0.380546;0.000049;0.028414;0.028415;0;0.000768;0.818182;207;0.148647;0
"проспект большевиков";67;67;5;0.374838;0.426874;0.004451;0.057897;0.057897;1;0.001992;0.362238;777;0.324045;0
"улица коллонтай";69;69;4;0.394629;0.44406;0.006116;0.064793;0.064793;1;0.001998;0.38806;884;0.364141;0
"дальневосточный проспект";63;63;4;0.387573;0.43416;0.003646;0.05424;0.05424;1;0.001858;0.420941;796;0.311903;0
"новочеркасский проспект";64;64;5;0.41763;0.460092;0.005797;0.080766;0.080766;3;0.001877;0.363095;732;0.424138;0
"площадь академика лихачёва";20;20;5;0.346523;0.378816;0;0.026552;0.026552;0;0.000678;1;190;0.138038;0
"зоологический переулок";20;20;5;0.346523;0.378816;0;0.026552;0.026552;0;0.000678;1;190;0.138038;0
"звёздная улица";75;75;3;0.434151;0.477124;0.010837;0.049502;0.049502;1;0.00246;0.302131;794;0.340855;0
"улица ленсовета";89;89;4;0.436336;0.486544;0.014627;0.068806;0.068807;1;0.002905;0.276813;1084;0.429561;0
"дунайский проспект";95;95;3;0.457278;0.504614;0.023272;0.080572;0.080573;1;0.002968;0.253031;1106;0.50359;0
"софийская улица";74;74;4;0.382275;0.435217;0.003833;0.062739;0.062739;1;0.002289;0.357645;966;0.374873;0
"автозаводская улица";12;12;4;0.333718;0.355729;0;0.007883;0.007883;1;0.000478;0.963636;53;0.05411;0
