Label;degree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub;modularity_class;pageranks;clustering;triangles;eigencentrality;componentnumber
"улица васи алексеева";11;11;5;0.309532;0.330315;0;0.003848;0.003848;4;0.000574;1;55;0.031005;0
"улица маршала говорова";11;11;5;0.309532;0.330315;0;0.003848;0.003848;4;0.000574;1;55;0.031005;0
"улица зины портновой";27;27;4;0.372103;0.405229;0.001473;0.018557;0.018557;4;0.001099;0.527066;185;0.126872;0
"московский проспект";123;123;4;0.444844;0.507785;0.031791;0.09858;0.09858;1;0.00396;0.220712;1656;0.589183;0
"улица типанова";61;61;4;0.39427;0.439254;0.001437;0.059385;0.059385;1;0.001845;0.476271;843;0.353997;0
"проспект славы";73;73;4;0.376139;0.429258;0.003267;0.062311;0.062311;1;0.002182;0.399061;1020;0.37463;0
"невский путепровод";48;48;4;0.36005;0.402826;0.00093;0.042204;0.042204;1;0.001528;0.525709;593;0.253961;0
"ивановская улица";74;74;4;0.401575;0.451942;0.006534;0.065914;0.065914;1;0.002303;0.340985;921;0.379929;0
"улица седова";71;71;4;0.398438;0.44752;0.005711;0.063356;0.063356;1;0.002156;0.354865;857;0.369746;0
"бульвар красных зорь";32;32;4;0.354167;0.389081;0.000411;0.0273;0.0273;1;0.001013;0.670968;312;0.170176;0
"проспект елизарова";25;25;4;0.347217;0.37995;0.000077;0.023915;0.023916;1;0.000889;0.746667;224;0.145459;0
"улица бабушкина";96;96;4;0.419855;0.474913;0.020968;0.071456;0.071456;1;0.002945;0.238522;1065;0.450215;0
"улица пограничника гарькавого";15;15;5;0.32816;0.355652;0.000058;0.008552;0.008552;4;0.000718;0.790476;83;0.061955;0
"московская площадь";55;55;4;0.393733;0.43714;0.001504;0.055903;0.055904;1;0.001744;0.478114;710;0.327205;0
"улица адмирала черокова";17;17;4;0.322425;0.345925;0.000025;0.006154;0.006154;4;0.000773;0.841667;101;0.05078;0
"проспект ленина";102;102;4;0.446447;0.499904;0.051183;0.033618;0.033618;4;0.00477;0.154339;795;0.28362;0
"кингисепское шоссе";13;13;4;0.340133;0.364956;0.000012;0.004611;0.004611;4;0.000685;0.846154;66;0.041104;0
"кронштадская улица";15;15;4;0.322305;0.345348;0.000014;0.005813;0.005813;4;0.000738;0.904762;95;0.047366;0
"корабельная улица";51;51;4;0.398072;0.436947;0.006765;0.018899;0.018899;4;0.002362;0.284706;363;0.141901;0
"проспект буденного";11;11;5;0.309532;0.330315;0;0.004131;0.004131;4;0.000594;1;55;0.034487;0
"улица костюшко";37;37;4;0.350162;0.387639;0.000419;0.029593;0.029593;1;0.001315;0.490991;327;0.182535;0
"кубинская улица";14;14;4;0.330916;0.354864;0.000033;0.010324;0.010324;1;0.000614;0.791209;72;0.066873;0
"площадь конституции";25;25;4;0.358561;0.390715;0.000284;0.020376;0.020376;1;0.00097;0.623333;187;0.129626;0
"площадь победы";75;75;4;0.417228;0.464917;0.006053;0.067814;0.067814;1;0.002466;0.315676;876;0.399152;0
"пулковское шоссе";64;64;4;0.415031;0.458574;0.004868;0.059965;0.059965;1;0.002137;0.340278;686;0.350185;0
"стартовая улица";11;11;5;0.312545;0.336678;0.000002;0.010011;0.010011;1;0.000513;0.890909;49;0.059945;0
"улица пилотов";11;11;5;0.312545;0.336678;0.000002;0.010011;0.010011;1;0.000513;0.890909;49;0.059945;0
1-й предпортовый проезд;48;48;4;0.408192;0.445694;0.002573;0.052978;0.052978;1;0.001595;0.464539;524;0.299213;0
"улица галстяна";43;43;4;0.407042;0.442618;0.002343;0.047207;0.047207;1;0.001477;0.473976;428;0.267298;0
"варшавская улица";51;51;4;0.408962;0.447616;0.002975;0.053678;0.053678;1;0.001713;0.429804;548;0.304665;0
"кронштадтская улица";58;58;4;0.413054;0.453095;0.021395;0.022075;0.022075;4;0.002534;0.246241;393;0.1598;0
"проспект кузнецова";11;11;5;0.355182;0.380796;0;0.012168;0.012168;4;0.000531;1;55;0.073547;0
"кронштадтская площадь";16;16;4;0.375162;0.399366;0.000155;0.013813;0.013813;4;0.00072;0.741667;89;0.088444;0
"лиговский проспект";119;119;4;0.439432;0.502691;0.02209;0.135664;0.135664;1;0.003417;0.253368;1749;0.726442;0
"ново-каменный мост";50;50;4;0.393019;0.434737;0.002388;0.052672;0.052672;1;0.001604;0.51102;626;0.301518;0
"будапештская улица";72;72;4;0.404384;0.452614;0.003129;0.071374;0.071374;1;0.00213;0.42334;1052;0.415921;0
"улица белы куна";47;47;5;0.355474;0.400692;0.000481;0.044028;0.044029;1;0.001462;0.513414;555;0.255596;0
"большой смоленский проспект";16;16;5;0.333077;0.362726;0;0.018079;0.018079;1;0.000609;1;120;0.107637;0
"новоизмайловский проспект";27;27;4;0.359006;0.392061;0.000824;0.020931;0.020931;1;0.001052;0.581197;204;0.133602;0
"бассейная улица";23;23;4;0.341608;0.371972;0.000591;0.015869;0.015869;1;0.00094;0.588933;149;0.104417;0
"улица орджоникидзе";41;41;4;0.378272;0.414456;0.00157;0.035785;0.035785;1;0.00143;0.478049;392;0.214231;0
"киевское шоссе";22;22;4;0.382613;0.409362;0.000349;0.015341;0.015341;1;0.000905;0.619048;143;0.107731;0
"дорога к госплемзаводу ""лесное""";15;15;4;0.374029;0.397443;0.000141;0.012388;0.012388;1;0.000643;0.657143;69;0.085776;0
"волхонское шоссе";25;25;4;0.388615;0.417916;0.001984;0.015187;0.015187;1;0.00111;0.416667;125;0.113971;0
"улица новые места";8;8;4;0.322785;0.343618;0;0.008454;0.008454;1;0.000412;1;28;0.051062;0
"пушкинское шоссе";23;23;4;0.380597;0.407824;0.001271;0.014536;0.014536;1;0.000963;0.545455;138;0.103745;0
"улица первого мая";38;38;4;0.406279;0.441176;0.015163;0.016884;0.016884;4;0.001822;0.266003;187;0.126717;0
"улица освобождения";14;14;4;0.356643;0.381103;0;0.011289;0.011289;1;0.000634;1;91;0.073762;0
"улица спирина";14;14;4;0.356643;0.381103;0;0.011289;0.011289;1;0.000634;1;91;0.073762;0
"геологическая улица";14;14;4;0.356643;0.381103;0;0.011289;0.011289;1;0.000634;1;91;0.073762;0
"заречная улица";25;25;4;0.394091;0.421953;0.00621;0.017689;0.017689;3;0.001011;0.386667;116;0.124911;0
"трамвайный проспект";14;14;4;0.340267;0.365532;0.000005;0.004144;0.004144;4;0.000748;0.89011;81;0.038533;0
"улица зины портовой";9;9;4;0.334878;0.35842;0;0.003447;0.003447;4;0.000527;1;36;0.031655;0
"гатчинское шоссе";13;13;4;0.346661;0.370531;0.000018;0.004315;0.004315;4;0.000694;0.910256;71;0.039422;0
"красногородская улица";13;13;4;0.346661;0.370531;0.000018;0.004315;0.004315;4;0.000694;0.910256;71;0.039422;0
"нарвская улица";13;13;4;0.346661;0.370531;0.000018;0.004315;0.004315;4;0.000694;0.910256;71;0.039422;0
"кингисеппское шоссе";13;13;4;0.346661;0.370531;0.000018;0.004315;0.004315;4;0.000694;0.910256;71;0.039422;0
"стрельна";10;10;5;0.309753;0.329758;0.002308;0.002722;0.002722;4;0.000764;0.622222;28;0.024011;0
"петергоф";10;10;5;0.309753;0.329758;0.002308;0.002722;0.002722;4;0.000764;0.622222;28;0.024011;0
"улица морской пехоты";8;8;5;0.311311;0.330334;0;0.002655;0.002655;4;0.000529;1;28;0.022232;0
"перевалочная улица";8;8;5;0.311311;0.330334;0;0.002655;0.002655;4;0.000529;1;28;0.022232;0
"угольный мост";8;8;5;0.311311;0.330334;0;0.002655;0.002655;4;0.000529;1;28;0.022232;0
"дорога в угольную гавань";8;8;5;0.311311;0.330334;0;0.002655;0.002655;4;0.000529;1;28;0.022232;0
"канонерский тоннель";14;14;4;0.344184;0.369089;0.000154;0.009384;0.009384;4;0.000644;0.846154;77;0.055784;0
"невельская улица";14;14;4;0.344184;0.369089;0.000154;0.009384;0.009384;4;0.000644;0.846154;77;0.055784;0
"шотландская улица";14;14;4;0.344184;0.369089;0.000154;0.009384;0.009384;4;0.000644;0.846154;77;0.055784;0
"краснопутиловская улица";50;50;4;0.394809;0.436467;0.002969;0.050755;0.050755;1;0.001682;0.401633;492;0.285091;0
"автовская улица";14;14;4;0.339867;0.362168;0;0.008089;0.008089;4;0.000572;0.987179;77;0.05021;0
"кузнецовская улица";10;10;4;0.332184;0.354575;0;0.007049;0.007049;1;0.000486;1;45;0.048861;0
"ломоносов";12;12;4;0.337354;0.360534;0.001913;0.002152;0.002152;4;0.000785;0.409091;27;0.023563;0
"санкт-петербургское шоссе";18;18;4;0.347495;0.37649;0.0004;0.003686;0.003686;4;0.000984;0.660131;101;0.042171;0
"санкт-петербургский проспект";34;34;4;0.363065;0.399942;0.004856;0.004652;0.004652;4;0.001958;0.351159;197;0.058646;0
"петергофская улица";20;20;4;0.342552;0.370146;0.001191;0.002571;0.002571;4;0.001233;0.531579;101;0.032366;0
"бульвар красных курсантов";22;22;4;0.342823;0.3713;0.001489;0.002596;0.002596;4;0.001372;0.480519;111;0.033347;0
"чичеринская улица";14;14;4;0.330538;0.35669;0.000709;0.002135;0.002135;4;0.000898;0.648352;59;0.026213;0
"ботаническая улица";10;10;5;0.307774;0.328393;0.000229;0.001675;0.001675;4;0.000676;0.888889;40;0.018704;0
"ульяновская улица";17;17;4;0.342147;0.368416;0.000896;0.002507;0.002507;4;0.001053;0.610294;83;0.030438;0
"ораниенбаумское шоссе";12;12;4;0.346523;0.372837;0;0.003095;0.003095;4;0.000672;1;66;0.034445;0
"морская улица";22;22;4;0.367217;0.398212;0.001135;0.004393;0.004393;4;0.001147;0.549784;127;0.051318;0
"дворцовый проспект";38;38;4;0.374029;0.410227;0.004031;0.005007;0.005007;4;0.001845;0.381381;254;0.06537;0
"краснофлотское шоссе";18;18;4;0.360799;0.390427;0.000278;0.004294;0.004294;4;0.000941;0.647059;99;0.049103;0
"приморское шоссе";75;75;4;0.415031;0.462899;0.029277;0.013773;0.013773;2;0.003316;0.210046;552;0.156359;0
"автомобильная дорога а121";19;19;4;0.377778;0.404652;0.00079;0.004715;0.004715;4;0.001004;0.643275;110;0.048959;0
"ленинградская улица";107;107;4;0.455118;0.508266;0.046085;0.029561;0.029561;4;0.004579;0.159928;890;0.283458;0
"шоссе революции";99;99;4;0.441896;0.493945;0.015703;0.122381;0.122381;3;0.002803;0.306333;1456;0.634822;0
"среднеохтинский проспект";57;57;4;0.391422;0.435313;0.001204;0.088388;0.088388;3;0.00165;0.513158;819;0.429867;0
"красногвардейская площадь";91;91;4;0.442573;0.492022;0.009745;0.120329;0.120329;3;0.002602;0.324298;1328;0.605959;0
"большеохтинский мост";50;50;4;0.390189;0.431276;0.000804;0.079037;0.079037;3;0.001461;0.577143;707;0.38226;0
"тульская улица";61;61;4;0.407042;0.450211;0.001639;0.089372;0.089373;3;0.001764;0.486339;890;0.434631;0
"кирочная улица";50;50;4;0.38465;0.426567;0.000707;0.076076;0.076076;3;0.001466;0.580408;711;0.367452;0
"улица восстания";56;56;4;0.418033;0.457805;0.012871;0.069134;0.069134;3;0.001938;0.437662;674;0.347685;0
"улица жуковского";41;41;4;0.376139;0.41436;0.000175;0.066874;0.066874;3;0.00122;0.710976;583;0.321352;0
"конногвардейский бульвар";52;52;4;0.39589;0.437428;0.000801;0.081838;0.081838;0;0.001524;0.555807;737;0.404306;0
"рижский проспект";31;31;4;0.372263;0.406574;0.000085;0.055617;0.055617;0;0.000953;0.931183;433;0.266921;0
"екатерингофский мост";31;31;4;0.372263;0.406574;0.000085;0.055617;0.055617;0;0.000953;0.931183;433;0.266921;0
"гапсальская улица";31;31;4;0.372263;0.406574;0.000085;0.055617;0.055617;0;0.000953;0.931183;433;0.266921;0
"межевой канал";31;31;4;0.372263;0.406574;0.000085;0.055617;0.055617;0;0.000953;0.931183;433;0.266921;0
"виндавская улица";31;31;4;0.372263;0.406574;0.000085;0.055617;0.055617;0;0.000953;0.931183;433;0.266921;0
"большеохтинский проспект";38;38;4;0.416827;0.448577;0.000905;0.058872;0.058871;3;0.001175;0.631579;444;0.302677;0
"комаровский мост";32;32;4;0.393733;0.426374;0.000336;0.050082;0.050082;3;0.001008;0.667339;331;0.248567;0
"якорная улица";32;32;4;0.393733;0.426374;0.000336;0.050082;0.050082;3;0.001008;0.667339;331;0.248567;0
"мост петра великого";24;24;4;0.385676;0.415129;0.0001;0.039246;0.039246;3;0.000796;0.873188;241;0.193218;0
"малая балканская улица";59;59;4;0.398988;0.442042;0.002535;0.059017;0.059017;1;0.001775;0.46824;774;0.336951;0
"улица олеко дундича";56;56;4;0.398254;0.440119;0.001734;0.057373;0.057373;1;0.001677;0.486869;723;0.326841;0
"улица ярослава гашека";61;61;4;0.399908;0.443772;0.002613;0.059823;0.059823;1;0.00183;0.438983;777;0.345696;0
"балканская площадь";59;59;4;0.399908;0.443772;0.002613;0.059823;0.059823;1;0.001829;0.425482;728;0.339078;0
"купчинская улица";23;23;4;0.37565;0.40446;0.00027;0.024568;0.024568;1;0.000818;0.782609;198;0.14451;0
"дунайский путепровод";19;19;4;0.371784;0.398308;0;0.022514;0.022514;1;0.000691;1;171;0.129923;0
"проспект юрия гагарина";35;35;4;0.375976;0.409458;0.001206;0.033296;0.033296;1;0.001214;0.568067;338;0.19746;0
"мост декабристов";19;19;4;0.371784;0.398308;0;0.022514;0.022514;1;0.000691;1;171;0.129923;0
5-й предпортовый проезд;22;22;4;0.367217;0.396098;0;0.033128;0.033129;1;0.000702;0.97619;205;0.175023;0
"предпортовая улица";28;28;4;0.374838;0.408016;0.000171;0.041645;0.041646;1;0.000921;0.746032;282;0.224286;0
"площадь московские ворота";20;20;4;0.367217;0.396098;0;0.033128;0.033129;1;0.000699;1;190;0.171723;0
"белорусская улица";51;51;4;0.379763;0.422241;0.002752;0.067775;0.067775;3;0.001631;0.424314;541;0.332641;0
"ленская улица";51;51;4;0.379763;0.422241;0.002752;0.067775;0.067775;3;0.001631;0.424314;541;0.332641;0
"проспект ударников";47;47;4;0.391245;0.431949;0.001513;0.06789;0.06789;3;0.001397;0.481961;521;0.34597;0
"улица передовиков";23;23;4;0.365053;0.395521;0.000075;0.03885;0.03885;3;0.000761;0.750988;190;0.190143;0
"яхтенная площадь";8;8;4;0.353878;0.37351;0;0.003146;0.003146;4;0.000513;1;28;0.026615;0
"тулонская аллея";15;15;4;0.354892;0.377547;0.000009;0.003604;0.003604;4;0.000875;0.866667;91;0.032667;0
"интернациональная улица";15;15;4;0.354892;0.377547;0.000009;0.003604;0.003604;4;0.000875;0.866667;91;0.032667;0
"советская улица";28;28;4;0.394629;0.42599;0.003317;0.008842;0.008842;2;0.001388;0.410053;155;0.082663;0
"улица зосимова";21;21;4;0.372423;0.399462;0.000656;0.004784;0.004784;4;0.001139;0.557143;117;0.04761;0
"кронштадтское шоссе";29;29;4;0.384479;0.415898;0.004498;0.005489;0.005489;4;0.001546;0.342365;139;0.057697;0
"улица мануильского";13;13;4;0.354311;0.376009;0;0.003371;0.003371;4;0.000777;1;78;0.029911;0
"улица аммермана";13;13;4;0.354311;0.376009;0;0.003371;0.003371;4;0.000777;1;78;0.029911;0
"петровская улица";13;13;4;0.354311;0.376009;0;0.003371;0.003371;4;0.000777;1;78;0.029911;0
"красная улица";13;13;4;0.354311;0.376009;0;0.003371;0.003371;4;0.000777;1;78;0.029911;0
"макаровская улица";13;13;4;0.354311;0.376009;0;0.003371;0.003371;4;0.000777;1;78;0.029911;0
"улица литке";13;13;4;0.354311;0.376009;0;0.003371;0.003371;4;0.000777;1;78;0.029911;0
"цитадельское шоссе";13;13;4;0.354311;0.376009;0;0.003371;0.003371;4;0.000777;1;78;0.029911;0
"дорога в рентгено";6;6;4;0.352296;0.372068;0;0.003998;0.003998;4;0.000399;1;15;0.0324;0
"песочное шоссе";6;6;4;0.352296;0.372068;0;0.003998;0.003998;4;0.000399;1;15;0.0324;0
"выборгское шоссе";74;74;4;0.41129;0.4604;0.023739;0.023896;0.023896;5;0.003021;0.234728;634;0.217433;0
"проспект луначарского";98;98;4;0.423961;0.478662;0.017701;0.073206;0.073205;3;0.003125;0.280498;1306;0.461151;0
"витебский мост";27;27;4;0.395169;0.42301;0.00054;0.014795;0.014795;1;0.00104;0.595442;209;0.125457;0
"петербургское шоссе";29;29;4;0.388441;0.417436;0.000666;0.017416;0.017416;1;0.001145;0.561576;228;0.132759;0
"улица генерала хазова";36;36;4;0.398988;0.431084;0.000693;0.015629;0.015629;1;0.001408;0.536508;338;0.1378;0
"школьная улица";91;91;4;0.445529;0.495194;0.048174;0.043389;0.043388;5;0.003126;0.239072;979;0.348623;0
"оранжерейная улица";57;57;4;0.407808;0.447328;0.002734;0.022448;0.022448;1;0.00213;0.405195;624;0.192979;0
"павловское шоссе";42;42;4;0.404384;0.43935;0.001941;0.015554;0.015554;1;0.00168;0.497096;428;0.141807;0
"захаржевская улица";40;40;4;0.404007;0.438197;0.00166;0.015366;0.015366;1;0.001587;0.524359;409;0.139319;0
"кадетский бульвар";40;40;4;0.404007;0.438197;0.00166;0.015366;0.015366;1;0.001587;0.524359;409;0.139319;0
"сапёрная улица";39;39;4;0.403819;0.43762;0.001531;0.015285;0.015285;1;0.001544;0.539811;400;0.138357;0
"софийский бульвар";24;24;4;0.374676;0.400135;0.000228;0.008573;0.008573;1;0.001017;0.728261;201;0.080812;0
"октябрьский бульвар";29;29;4;0.387054;0.41609;0.000597;0.013435;0.013435;1;0.001181;0.605911;246;0.110629;0
"парковая улица";61;61;4;0.420058;0.460977;0.01373;0.023004;0.023004;7;0.002335;0.284153;520;0.209979;0
"улица григорьева";37;37;4;0.369093;0.403499;0.002088;0.004484;0.004484;2;0.001648;0.539039;359;0.067529;0
"ермоловский проспект";37;37;4;0.369093;0.403499;0.002088;0.004484;0.004484;2;0.001648;0.539039;359;0.067529;0
"улица коммунаров";37;37;4;0.369093;0.403499;0.002088;0.004484;0.004484;2;0.001648;0.539039;359;0.067529;0
"дубковское шоссе";37;37;4;0.369093;0.403499;0.002088;0.004484;0.004484;2;0.001648;0.539039;359;0.067529;0
"улица воскова";63;63;4;0.391245;0.433679;0.019423;0.012047;0.012047;2;0.002408;0.36753;695;0.128804;0
"улица володарского";54;54;4;0.40232;0.440984;0.012436;0.012066;0.012066;2;0.002118;0.378084;521;0.135767;0
"северный переулок";16;16;4;0.359155;0.385044;0.000011;0.003578;0.003578;2;0.000795;0.95;114;0.044158;0
"центральная улица";74;74;4;0.443252;0.487601;0.039138;0.045637;0.045637;3;0.003083;0.213625;577;0.308048;0
"новое шоссе";15;15;4;0.359006;0.384468;0;0.003528;0.003528;2;0.000748;1;105;0.043277;0
"белоостровское шоссе";15;15;4;0.359006;0.384468;0;0.003528;0.003528;2;0.000748;1;105;0.043277;0
"пограничная улица";15;15;4;0.359006;0.384468;0;0.003528;0.003528;2;0.000748;1;105;0.043277;0
"сельская улица";15;15;4;0.359006;0.384468;0;0.003528;0.003528;2;0.000748;1;105;0.043277;0
"водопадная улица";11;11;4;0.338804;0.358708;0.009264;0.001824;0.001824;7;0.001284;0.418182;23;0.018565;0
"лагерное шоссе";7;7;4;0.338275;0.356401;0.000069;0.001821;0.001821;7;0.000647;0.809524;17;0.017595;0
"первомайская улица";3;3;5;0.313562;0.329796;0;0.000658;0.000658;7;0.000389;1;3;0.007843;0
"южная улица";6;6;4;0.338144;0.355825;0;0.001808;0.001808;7;0.000539;1;15;0.017237;0
"заводская улица";6;6;4;0.338144;0.355825;0;0.001808;0.001808;7;0.000539;1;15;0.017237;0
"петрозаводское шоссе";29;29;4;0.374352;0.405998;0.002461;0.010521;0.010521;7;0.001283;0.591133;240;0.09951;0
"ахматовская улица";40;40;4;0.391245;0.424933;0.001209;0.015701;0.015701;1;0.001606;0.485897;379;0.134152;0
"железнодорожная улица";59;59;4;0.422103;0.461265;0.008036;0.021331;0.021331;1;0.002251;0.341803;565;0.18598;0
"главная улица";19;19;4;0.36261;0.38514;0.000015;0.006794;0.006794;1;0.000835;0.947368;162;0.067372;0
"детскосельская улица";26;26;4;0.372583;0.399942;0.000407;0.007051;0.007051;1;0.001196;0.621538;202;0.072212;0
"берёзовая улица";29;29;4;0.378107;0.407439;0.000429;0.008555;0.008555;1;0.001274;0.640394;260;0.086903;0
"улица мичурина";31;31;4;0.378437;0.408593;0.000559;0.00866;0.00866;1;0.001372;0.595699;277;0.088468;0
"гуммолосаровская улица";29;29;4;0.378107;0.407439;0.000413;0.008564;0.008564;1;0.00126;0.657635;267;0.08712;0
"конюшенная улица";42;42;4;0.398072;0.432814;0.001927;0.011677;0.011677;1;0.001733;0.492451;424;0.11827;0
"госпитальная улица";38;38;4;0.392485;0.424164;0.001079;0.010476;0.010475;1;0.001516;0.564565;376;0.108946;0
"звериницкая улица";23;23;4;0.366906;0.391965;0.000046;0.007882;0.007882;1;0.000984;0.837945;212;0.077291;0
"дворцовая улица";7;7;4;0.330034;0.347751;0;0.002709;0.002709;1;0.000411;1;21;0.025524;0
"средняя улица";27;27;4;0.378934;0.408593;0.001794;0.023938;0.023938;1;0.000969;0.472934;166;0.146757;0
"леонтьевская улица";17;17;4;0.356497;0.376586;0.000076;0.006205;0.006205;1;0.000769;0.808824;110;0.056956;0
"московская улица";22;22;4;0.372263;0.396674;0.000163;0.007302;0.007302;1;0.000958;0.722944;167;0.070866;0
"удаловская улица";12;12;4;0.352296;0.374952;0;0.004419;0.004419;1;0.000587;1;66;0.043804;0
"новодеревенская улица";20;20;4;0.370038;0.397924;0.000305;0.007247;0.007247;7;0.000848;0.589474;112;0.073909;0
"колпинское шоссе";49;49;4;0.417429;0.453768;0.004179;0.018784;0.018784;7;0.001703;0.468085;528;0.173603;0
"северская улица";12;12;4;0.352296;0.374952;0;0.004419;0.004419;1;0.000587;1;66;0.043804;0
"ростовская улица";12;12;4;0.352296;0.374952;0;0.004419;0.004419;1;0.000587;1;66;0.043804;0
"улица вячеслава шишкова";17;17;4;0.383968;0.40792;0.000025;0.00753;0.00753;1;0.000749;0.977941;133;0.072776;0
"бульвар алексея толстого";17;17;4;0.383968;0.40792;0.000025;0.00753;0.00753;1;0.000749;0.977941;133;0.072776;0
"привокзальная площадь";113;113;4;0.426463;0.486255;0.057012;0.020371;0.020371;4;0.005151;0.138835;863;0.228569;0
"кузьминское шоссе";8;8;5;0.333847;0.355517;0;0.003582;0.003582;1;0.000442;1;28;0.034186;0
"московский переулок";15;15;4;0.356643;0.37649;0;0.005391;0.005391;1;0.000702;1;105;0.051606;0
"фильтровское шоссе";15;15;4;0.356643;0.37649;0;0.005391;0.005391;1;0.000702;1;105;0.051606;0
"пушкин";18;18;4;0.363522;0.387447;0.001374;0.007628;0.007628;1;0.000788;0.533333;56;0.063845;0
"шушары";32;32;4;0.393554;0.423203;0.002011;0.017526;0.017526;1;0.001043;0.452381;171;0.136029;0
3-й верхний переулок;10;10;4;0.353733;0.37649;0;0.002732;0.002732;4;0.00061;1;45;0.028066;0
"кад";33;33;4;0.390189;0.42474;0.008503;0.007546;0.007546;4;0.001586;0.253788;134;0.079782;0
"комсомольская улица";10;10;4;0.353733;0.37649;0;0.002732;0.002732;4;0.00061;1;45;0.028066;0
"улица 50-ти лет октября";10;10;4;0.353733;0.37649;0;0.002732;0.002732;4;0.00061;1;45;0.028066;0
"солнечная улица";10;10;4;0.353733;0.37649;0;0.002732;0.002732;4;0.00061;1;45;0.028066;0
"улица космонавтов";10;10;4;0.353733;0.37649;0;0.002732;0.002732;4;0.00061;1;45;0.028066;0
"привокзальная улица";29;29;4;0.376957;0.408785;0.006393;0.006303;0.006302;4;0.001509;0.337438;137;0.059479;0
"большой проспект";2;2;5;0.294197;0.307266;0;0.0003;0.0003;2;0.00026;1;1;0.00367;0
"улица калинина";2;2;5;0.312095;0.32822;0;0.000968;0.000968;4;0.000251;1;1;0.009003;0
"улица свободы";2;2;5;0.316654;0.332545;0;0.001001;0.001001;4;0.000254;1;1;0.009366;0
"заводской проспект";49;49;4;0.404762;0.442618;0.002494;0.019579;0.019579;7;0.001727;0.460884;542;0.17599;0
"улица веры слуцкой";50;50;4;0.404573;0.44281;0.002585;0.01929;0.01929;7;0.001756;0.471837;578;0.175749;0
"пролетарская улица";56;56;4;0.40533;0.445117;0.003043;0.020084;0.020084;7;0.001869;0.465993;692;0.188618;0
"бульвар победы";30;30;4;0.381099;0.411476;0.000444;0.013171;0.013171;7;0.001125;0.597701;260;0.117061;0
"вокзальная улица";29;29;4;0.365206;0.398116;0.019347;0.005617;0.005617;2;0.002425;0.194581;79;0.051923;0
"рощинское шоссе";4;4;5;0.328534;0.348404;0.000038;0.001067;0.001067;2;0.000429;0.833333;5;0.01228;0
"средневыборгское шоссе";7;7;5;0.328658;0.348981;0;0.001094;0.001094;2;0.000479;0.933333;14;0.013406;0
"средневыборгский путепровод";5;5;5;0.328658;0.348981;0;0.001094;0.001094;2;0.000459;1;10;0.012909;0
"линдуловская дорога";5;5;5;0.328658;0.348981;0;0.001094;0.001094;2;0.000459;1;10;0.012909;0
"пухтоловская дорога";3;3;5;0.316423;0.332641;0;0.000799;0.000799;2;0.000376;1;3;0.008405;0
"улица машиностроителей";28;28;4;0.374191;0.405037;0.000417;0.011282;0.011282;7;0.001049;0.687831;260;0.10524;0
"бульвар трудящихся";49;49;4;0.395529;0.435217;0.002205;0.016336;0.016336;7;0.001721;0.503401;592;0.157544;0
"улица танкистов";37;37;4;0.387226;0.421473;0.001051;0.012777;0.012777;7;0.00138;0.657658;438;0.119552;0
"бульвар свободы";47;47;4;0.404196;0.441849;0.002561;0.017249;0.017249;7;0.001648;0.52729;570;0.156792;0
"соборная улица";49;49;4;0.404573;0.443003;0.002695;0.017521;0.017521;7;0.001717;0.516156;607;0.160174;0
"загородная улица";42;42;4;0.390365;0.426951;0.001387;0.014708;0.014708;7;0.001483;0.577236;497;0.140451;0
"центральный проезд";15;15;4;0.348473;0.371492;0;0.005559;0.005559;7;0.00066;1;105;0.055672;0
"северный проезд";15;15;4;0.348473;0.371492;0;0.005559;0.005559;7;0.00066;1;105;0.055672;0
"улица труда";37;37;4;0.380263;0.413399;0.000795;0.011713;0.011713;7;0.00131;0.687302;433;0.111989;0
"банковский переулок";34;34;4;0.380096;0.412822;0.000776;0.011457;0.011457;7;0.001276;0.688057;386;0.106794;0
"тверской мост";27;27;4;0.358264;0.388024;0.000119;0.00825;0.00825;7;0.001038;0.874644;307;0.085276;0
"улица ремизова";28;28;4;0.358413;0.388601;0.000127;0.008506;0.008506;7;0.00107;0.851852;322;0.08788;0
"октябрьская улица";37;37;4;0.380263;0.413399;0.000795;0.011713;0.011713;7;0.00131;0.687302;433;0.111989;0
"улица ижорского батальона";28;28;4;0.377285;0.407247;0.000354;0.010529;0.010529;7;0.001062;0.84127;318;0.097067;0
"оборонная улица";32;32;4;0.379763;0.411669;0.000581;0.01144;0.011439;7;0.001203;0.71371;354;0.105278;0
"дорога к домостроительному комбинату";20;20;4;0.357231;0.383987;0;0.006997;0.006997;7;0.000806;1;190;0.070654;0
"финляндская улица";27;27;4;0.37712;0.406671;0.000338;0.010273;0.010273;7;0.00103;0.863248;303;0.094462;0
"дорога к комбинату строительных материалов";20;20;4;0.357231;0.383987;0;0.006997;0.006997;7;0.000806;1;190;0.070654;0
"дорога на огоньки";7;7;5;0.332439;0.352634;0.000104;0.001335;0.001335;2;0.000691;0.666667;14;0.014724;0
"автомобильная дорога а120";4;4;5;0.316539;0.333218;0;0.000821;0.000821;2;0.000469;1;6;0.00888;0
"дорога на подгорное";4;4;5;0.316539;0.333218;0;0.000821;0.000821;2;0.000469;1;6;0.00888;0
"автомобильная дорога а122";4;4;5;0.332057;0.350903;0;0.001278;0.001278;2;0.000404;1;6;0.013476;0
