Label;degree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub;modularity_class;pageranks;componentnumber;clustering;triangles;eigencentrality
192;28;28;3;0.444084;0.492092;0.00596;0.046606;0.046606;1;0.003716;0;0.55291;209;0.32565
36;12;12;4;0.370771;0.409063;0.000047;0.0202;0.0202;1;0.001766;0;0.818182;54;0.149538
169;21;21;4;0.398256;0.444343;0.002039;0.01859;0.018589;0;0.002913;0;0.590476;124;0.167041
86;26;26;4;0.434231;0.48236;0.002122;0.046969;0.046968;4;0.003172;0;0.68;221;0.34478
307;9;9;4;0.391429;0.419404;0.000582;0.01571;0.01571;2;0.001553;0;0.75;27;0.099711
309;13;13;4;0.407738;0.441302;0.003449;0.01824;0.01824;2;0.002103;0;0.448718;35;0.120509
311;20;20;4;0.41896;0.461983;0.001071;0.043323;0.043324;2;0.002643;0;0.736842;140;0.266264
312;20;20;4;0.41896;0.461983;0.001071;0.043323;0.043324;2;0.002643;0;0.736842;140;0.266264
314;39;39;3;0.480702;0.534063;0.006692;0.084455;0.084455;2;0.004515;0;0.446694;331;0.542388
23;16;16;4;0.38646;0.423966;0.001979;0.01382;0.01382;0;0.002364;0;0.741667;89;0.123741
28;20;20;4;0.382682;0.426095;0.000356;0.021708;0.021707;0;0.002689;0;0.7;133;0.189721
37;32;32;4;0.416413;0.474148;0.001725;0.03883;0.038829;0;0.003931;0;0.608871;302;0.32992
124;15;15;4;0.38646;0.423054;0.000129;0.014603;0.014602;0;0.00218;0;0.857143;90;0.130673
368;28;28;4;0.460504;0.506083;0.013957;0.040208;0.040208;0;0.003557;0;0.420635;159;0.296711
388;14;14;4;0.41018;0.444647;0.00001;0.026832;0.026832;1;0.001969;0;0.967033;88;0.185934
88;11;11;4;0.346397;0.38382;0.000008;0.021004;0.021004;1;0.001683;0;0.927273;51;0.134569
167;39;39;3;0.471601;0.527372;0.007015;0.079177;0.079176;4;0.004418;0;0.529015;392;0.548292
205;43;43;3;0.478185;0.537105;0.009461;0.07734;0.077339;4;0.004961;0;0.565891;511;0.564147
205а;37;37;3;0.469983;0.523723;0.004595;0.066605;0.066604;4;0.004226;0;0.617117;411;0.490432
273;32;32;3;0.47986;0.524939;0.017543;0.065109;0.065109;3;0.004108;0;0.471774;234;0.4272
372;30;30;3;0.475694;0.519465;0.002106;0.070257;0.070257;3;0.003534;0;0.572414;249;0.455881
380;30;30;3;0.469983;0.515207;0.001491;0.070554;0.070554;3;0.003495;0;0.616092;268;0.458991
67а;7;7;4;0.363878;0.391423;0;0.005728;0.005728;0;0.001464;0;1;21;0.047285
107;13;13;4;0.371274;0.405414;0.000007;0.018014;0.018013;0;0.00187;0;0.961538;75;0.151097
133;26;26;4;0.405325;0.456509;0.000463;0.040084;0.040083;4;0.003166;0;0.772308;251;0.321502
60;32;32;4;0.434231;0.489964;0.001467;0.054342;0.054341;4;0.003741;0;0.693548;344;0.415674
61;37;37;4;0.437002;0.498479;0.001611;0.060745;0.060744;4;0.004247;0;0.681682;454;0.46875
178;34;34;4;0.417047;0.477798;0.001304;0.053758;0.053756;4;0.003966;0;0.648841;364;0.420834
193;41;41;3;0.476522;0.533455;0.011696;0.063937;0.063936;4;0.004717;0;0.560976;460;0.49482
211;29;29;4;0.456667;0.504866;0.006271;0.059177;0.059177;2;0.003535;0;0.470443;191;0.383427
325;11;11;4;0.374829;0.40663;0.000633;0.010103;0.010103;3;0.002014;0;0.618182;34;0.073554
38;12;12;5;0.346835;0.382725;0.000059;0.008865;0.008865;4;0.002014;0;0.848485;56;0.074622
45;6;6;5;0.337855;0.365693;0;0.005599;0.005599;4;0.001251;0;1;15;0.045402
121;34;34;4;0.428125;0.487226;0.000628;0.059958;0.059957;4;0.003921;0;0.762923;428;0.451083
139;36;36;4;0.435612;0.496046;0.000987;0.06375;0.063749;4;0.004122;0;0.726984;458;0.477295
143;26;26;4;0.414523;0.46472;0.000146;0.045983;0.045982;4;0.003126;0;0.895385;291;0.344006
148;41;41;4;0.452893;0.515815;0.013551;0.070852;0.070851;4;0.005135;0;0.509756;418;0.502117
177;30;30;4;0.421538;0.476277;0.000448;0.052012;0.05201;4;0.003523;0;0.818391;356;0.395848
198;32;32;4;0.428795;0.485097;0.000459;0.0588;0.058798;4;0.003714;0;0.792339;393;0.435455
373;22;22;4;0.4384;0.480535;0.000337;0.046395;0.046395;3;0.002737;0;0.813853;188;0.312208
382;23;23;4;0.439103;0.48236;0.000581;0.047674;0.047674;3;0.002842;0;0.758893;192;0.321274
56;7;7;4;0.365333;0.390511;0;0.005911;0.00591;3;0.001581;0;1;21;0.043323
99;29;29;4;0.431496;0.482968;0.005813;0.045079;0.045078;4;0.003818;0;0.655172;266;0.334865
207;7;7;4;0.365333;0.390511;0;0.005911;0.00591;3;0.001581;0;1;21;0.043323
328;18;18;4;0.39255;0.433394;0.015921;0.010039;0.010038;3;0.003699;0;0.294118;45;0.077677
420а;7;7;4;0.365333;0.390511;0;0.005911;0.00591;3;0.001581;0;1;21;0.043323
75;31;31;4;0.428125;0.483273;0.000743;0.062657;0.062655;4;0.003587;0;0.741935;345;0.442251
173;31;31;4;0.428125;0.483273;0.000743;0.062657;0.062655;4;0.003587;0;0.741935;345;0.442251
397;47;47;4;0.477352;0.541971;0.016543;0.102264;0.102263;4;0.005132;0;0.46901;507;0.672543
101а;28;28;4;0.409567;0.466849;0.004553;0.047553;0.047553;2;0.003559;0;0.542328;205;0.313233
216;25;25;4;0.407738;0.461375;0.003112;0.04479;0.04479;2;0.003209;0;0.563333;169;0.290873
104;6;6;4;0.355383;0.381083;0.004116;0.006346;0.006346;4;0.001713;0;0.466667;7;0.046894
278;3;3;5;0.287815;0.305535;0;0.000455;0.000455;4;0.001287;0;1;3;0.004768
367;4;4;5;0.299127;0.3191;0.000114;0.000599;0.000599;4;0.001519;0;0.666667;4;0.006302
112;12;12;4;0.347716;0.382299;0;0.033152;0.033152;2;0.00167;0;1;66;0.192933
332;20;20;4;0.402941;0.449818;0.004056;0.027108;0.027108;3;0.003045;0;0.484211;92;0.182517
336;10;10;4;0.361478;0.395073;0.000407;0.006423;0.006423;3;0.001977;0;0.688889;31;0.051329
337а;12;12;4;0.362434;0.398723;0.001255;0.006574;0.006574;3;0.002484;0;0.545455;36;0.053119
378;9;9;4;0.396527;0.426399;0.000406;0.018738;0.018738;2;0.001488;0;0.694444;25;0.121641
392а;9;9;4;0.357702;0.389294;0.002352;0.005521;0.005521;3;0.002019;0;0.694444;25;0.043329
390;11;11;4;0.389758;0.424878;0;0.022884;0.022884;3;0.001687;0;1;55;0.146895
359;3;3;5;0.295259;0.314659;0;0.00215;0.00215;1;0.0011;0;1;3;0.015187
358;4;4;5;0.323877;0.347141;0;0.004391;0.004391;3;0.000986;0;1;6;0.031044
396а;4;4;4;0.338272;0.361922;0;0.002896;0.002896;3;0.001212;0;1;6;0.022621
396;4;4;4;0.338272;0.361922;0;0.002896;0.002896;3;0.001212;0;1;6;0.022621
389;2;2;4;0.317865;0.332421;0;0.003002;0.003002;2;0.00077;0;1;1;0.019167
