Label;degree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub;modularity_class;pageranks;componentnumber;clustering;triangles;eigencentrality
"набережная черной речки";2;2;13;0.145202;0.162202;0.00145;0.010136;0.010136;12;0.000744;0;0;0;0.048407
"белоостровская улица";3;3;13;0.137292;0.15123;0.004268;0.002567;0.002567;8;0.001087;0;0;0;0.03737
"набережная чёрной речки";5;5;13;0.165174;0.191822;0.029384;0.031809;0.031809;9;0.001453;0;0;0;0.203472
"новосибирская улица";3;3;13;0.146107;0.165123;0.002641;0.011246;0.011246;12;0.00104;0;0;0;0.06094
"ланское шоссе";4;4;14;0.15853;0.184132;0.011142;0.054759;0.05476;12;0.001366;0;0;0;0.172927
"новороссийская улица";2;2;15;0.13701;0.153116;0.003525;0.008914;0.008914;12;0.000853;0;0;0;0.033855
"проспект энгельса";16;16;13;0.184233;0.228389;0.096114;0.316216;0.316217;12;0.004146;0;0.038095;4;0.952305
"улица матроса железняка";2;2;14;0.135681;0.153803;0.000232;0.007024;0.007024;12;0.000696;0;0;0;0.061984
"проспект народного ополчения";10;10;17;0.122527;0.143524;0.004704;0.003641;0.003641;2;0.002147;0;0.222222;8;0.21211
"улица партизана германа";4;4;16;0.127725;0.149317;0.002884;0.003825;0.003825;2;0.001095;0;0;0;0.149779
"улица солдата корзуна";4;4;16;0.13786;0.161005;0.006082;0.005397;0.005397;2;0.001162;0;0.166667;1;0.179024
"улица подводника кузьмина";3;3;16;0.124212;0.142469;0.000563;0.002574;0.002574;2;0.000812;0;0;0;0.108509
"счастливая улица";1;1;18;0.109166;0.121504;0;0.000575;0.000575;2;0.000355;0;0;0;0.039963
"дачный проспект";3;3;16;0.12681;0.145975;0.000278;0.003036;0.003036;2;0.000796;0;0.333333;1;0.130858
"улица тамбасова";2;2;18;0.109194;0.122273;0.000008;0.000688;0.000688;2;0.000644;0;0;0;0.048704
"улица танкиста хрустицкого";3;3;16;0.12681;0.145975;0.000278;0.003036;0.003036;2;0.000796;0;0.333333;1;0.130858
"улица пограничника гарькавого";3;3;17;0.130474;0.152064;0.001691;0.003908;0.003908;2;0.000838;0;0;0;0.151193
"улица доблести";6;6;15;0.142528;0.170489;0.005283;0.0107;0.0107;2;0.001632;0;0.066667;1;0.279679
"улица чекистов";2;2;17;0.113304;0.12723;0.00013;0.000713;0.000713;2;0.000679;0;0;0;0.037934
"проспект ветеранов";10;10;16;0.138013;0.164658;0.005517;0.009151;0.00915;2;0.002587;0;0.066667;3;0.313399
"ленинский проспект";13;13;14;0.163123;0.201938;0.039054;0.022824;0.022823;2;0.003399;0;0.038462;3;0.544793
"улица маршала захарова";4;4;15;0.1492;0.174593;0.003013;0.00936;0.00936;2;0.001169;0;0;0;0.187354
"улица маршала казакова";5;5;15;0.154216;0.182177;0.003866;0.013399;0.013399;2;0.00141;0;0.1;1;0.285842
"улица рихарда зорге";4;4;15;0.141228;0.165502;0.000968;0.006362;0.006361;2;0.001192;0;0.166667;1;0.166125
"петергофское шоссе";10;10;16;0.149405;0.181171;0.020451;0.011936;0.011935;2;0.003093;0;0.022222;1;0.329981
"проспект маршала жукова";10;10;15;0.159287;0.19405;0.026953;0.020505;0.020504;2;0.002705;0;0.111111;5;0.475474
"проспект героев";6;6;14;0.171344;0.204455;0.030656;0.025541;0.02554;2;0.001754;0;0;0;0.317468
"кубинская улица";2;2;15;0.140701;0.162968;0.000451;0.004192;0.004192;13;0.00065;0;0;0;0.107619
"площадь конституции";3;3;15;0.144524;0.169569;0.001023;0.00546;0.00546;3;0.000895;0;0;0;0.135646
"московский проспект";10;10;15;0.168317;0.204905;0.040154;0.016764;0.016764;3;0.002715;0;0.044444;2;0.35485
"варшавская улица";4;4;15;0.145861;0.172527;0.001262;0.007076;0.007076;13;0.001132;0;0.166667;1;0.167716
"бульвар новаторов";5;5;15;0.140815;0.166063;0.004928;0.00642;0.006419;2;0.001296;0;0.2;2;0.211555
"проспект кузнецова";2;2;15;0.140314;0.161718;0.000048;0.005725;0.005724;2;0.000635;0;0;0;0.135968
"кронштадтская площадь";2;2;15;0.147074;0.171548;0;0.007134;0.007134;2;0.000653;0;1;1;0.177195
"проспект стачек";14;14;15;0.161392;0.199049;0.039666;0.022317;0.022316;2;0.004245;0;0.076923;7;0.527595
"улица зины портновой";4;4;15;0.140815;0.165678;0.002184;0.006228;0.006228;2;0.001114;0;0;0;0.187557
"улица зенитчиков";2;2;16;0.142646;0.165101;0;0.006767;0.006767;2;0.00066;0;1;1;0.165314
"таллинское шоссе";3;3;15;0.166859;0.194877;0.019267;0.024352;0.024352;13;0.00097;0;0.333333;1;0.201917
"брестский бульвар";2;2;16;0.13751;0.157545;0.000108;0.004246;0.004246;2;0.000656;0;0;0;0.106259
"старо-петергофский проспект";7;7;15;0.176291;0.20902;0.042836;0.023492;0.023492;7;0.002274;0;0.095238;2;0.321666
"комсомольская площадь";3;3;16;0.146304;0.170807;0.001349;0.005927;0.005926;2;0.000962;0;0.333333;1;0.144522
"улица морской пехоты";1;1;16;0.138987;0.158902;0;0.003527;0.003527;2;0.000431;0;0;0;0.087514
"перевалочная улица";2;2;16;0.139076;0.159959;0.004608;0.00362;0.003619;2;0.000897;0;0;0;0.093461
"нарвский проспект";3;3;16;0.153397;0.177352;0.002307;0.007425;0.007425;7;0.001124;0;0.333333;1;0.146816
"корабельная улица";4;4;15;0.150547;0.175493;0.005769;0.00618;0.00618;2;0.001374;0;0.166667;1;0.140979
"улица васи алексеева";2;2;16;0.139031;0.159671;0.002307;0.003617;0.003617;2;0.000904;0;0;0;0.092129
"трамвайный проспект";3;3;16;0.139299;0.161478;0.001446;0.004861;0.004861;2;0.000948;0;0;0;0.134204
"ново-калинкин мост";1;1;16;0.149896;0.167756;0;0.003713;0.003713;7;0.000449;0;0;0;0.053472
"площадь репина";3;3;15;0.17295;0.19826;0.003353;0.01711;0.01711;7;0.001045;0;0.333333;1;0.179293
"рижский проспект";3;3;16;0.151256;0.173346;0.007406;0.006967;0.006966;7;0.001136;0;0;0;0.108601
"набережная обводного канала";5;5;16;0.156753;0.184885;0.02149;0.009209;0.009209;7;0.00166;0;0.1;1;0.171602
"садовая улица";17;17;14;0.204965;0.248277;0.223343;0.081915;0.081914;3;0.004866;0;0.022059;3;0.725034
"проспект римского-корсакова";2;2;16;0.147977;0.164004;0.001115;0.002864;0.002864;7;0.00083;0;0;0;0.037312
"английский проспект";2;2;17;0.131205;0.144809;0.000063;0.001013;0.001013;7;0.000849;0;0;0;0.02762
"улица декабристов";5;5;16;0.149431;0.169914;0.014674;0.003549;0.003549;7;0.001903;0;0.1;1;0.085735
"театральная площадь";2;2;17;0.130868;0.144139;0;0.000678;0.000678;7;0.000802;0;1;1;0.034597
"улица глинки";5;5;17;0.132144;0.147677;0.007418;0.000744;0.000744;7;0.001797;0;0.3;3;0.058471
"лермонтовский проспект";10;10;15;0.173365;0.204521;0.04771;0.01946;0.01946;7;0.003545;0;0.044444;2;0.262876
"мост декабристов";1;1;17;0.130024;0.142033;0;0.000561;0.000561;7;0.000496;0;0;0;0.019223
"яхтенная площадь";1;1;16;0.141113;0.155355;0;0.002712;0.002712;18;0.000545;0;0;0;0.020929
"тулонская аллея";2;2;15;0.164267;0.187956;0.002307;0.017164;0.017164;18;0.000877;0;0;0;0.125311
"ленинградская улица";18;18;14;0.19642;0.242132;0.11399;0.105896;0.105895;18;0.005087;0;0.03268;5;0.758895
"интернациональная улица";4;4;15;0.167958;0.194789;0.003638;0.028767;0.028767;18;0.001341;0;0.333333;2;0.199917
"улица мануильского";2;2;15;0.164329;0.18811;0;0.021281;0.021281;18;0.000698;0;1;1;0.152876
"советская улица";4;4;14;0.176867;0.209086;0.009384;0.050077;0.050077;18;0.001268;0;0.166667;1;0.293841
