Label;degree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub;modularity_class;pageranks;componentnumber;clustering;triangles;eigencentrality
"краснофлотское шоссе";3;3;13;0.171378;0.200578;0.021562;0.062755;0.062755;5;0.000945;0;0.333333;1;0.244339
"манежная улица";2;2;16;0.122961;0.13442;0;0.000389;0.000389;5;0.000826;0;1;1;0.022237
"еленинская улица";5;5;16;0.123083;0.136592;0.01604;0.000419;0.000419;5;0.001931;0;0.1;1;0.039959
"владимирская улица";2;2;17;0.109719;0.11957;0.003058;0.000072;0.000072;5;0.000849;0;0;0;0.023741
"михайловская улица";2;2;17;0.109719;0.11957;0.003058;0.000072;0.000072;5;0.000849;0;0;0;0.023741
"иликовский проспект";2;2;17;0.109719;0.11957;0.003058;0.000072;0.000072;5;0.000849;0;0;0;0.023741
"александровская улица";5;5;18;0.098995;0.108939;0.00691;0.000036;0.000036;5;0.002045;0;0;0;0.035275
"ораниенбаумский проспект";2;2;19;0.090106;0.0971;0.001152;0.000006;0.000006;5;0.00093;0;0;0;0.016726
"улица победы";2;2;19;0.090106;0.0971;0.001152;0.000006;0.000006;5;0.00093;0;0;0;0.016726
"полигонный переулок";2;2;20;0.082682;0.088342;0.000001;0.000002;0.000002;5;0.000963;0;0;0;0.012427
"ленинградское шоссе";7;7;15;0.165174;0.192515;0.01161;0.029629;0.029629;12;0.002121;0;0.095238;2;0.195784
"петровская улица";2;2;16;0.130868;0.143938;0.000089;0.001485;0.001485;13;0.000927;0;0;0;0.015584
"красная улица";2;2;15;0.140861;0.156229;0.001157;0.004619;0.004618;13;0.000923;0;0;0;0.027801
"цитадельское шоссе";1;1;16;0.126977;0.137729;0;0.001834;0.001834;16;0.000553;0;0;0;0.009164
"улица жоры антоненко";2;2;16;0.123875;0.13587;0.005859;0.000338;0.000338;5;0.000959;0;0;0;0.013856
"ораниенбаумское шоссе";2;2;16;0.133078;0.149302;0.001579;0.000728;0.000728;5;0.00081;0;0;0;0.035574
"улица связи";2;2;17;0.110488;0.119874;0.003652;0.000055;0.000055;5;0.001037;0;0;0;0.01034
"улица кипренского";2;2;17;0.101285;0.108841;0.001762;0.000009;0.000009;5;0.001075;0;0;0;0.009734
"павловский проспект";2;2;18;0.096184;0.102732;0.000795;0.000003;0.000003;5;0.001085;0;0;0;0.009709
"безымянный переулок";2;2;17;0.100487;0.107411;0.001495;0.00001;0.00001;5;0.001071;0;0;0;0.010088
"песочная улица";2;2;16;0.109956;0.118167;0.003425;0.000061;0.000061;5;0.001029;0;0;0;0.011896
"улица мира";3;3;15;0.122996;0.133814;0.009077;0.000376;0.000376;5;0.001415;0;0;0;0.018365
"кронверкская улица";2;2;14;0.139591;0.152798;0.011189;0.002254;0.002254;5;0.00087;0;0;0;0.02833
"улица котовского";2;2;16;0.110362;0.118709;0.001529;0.000067;0.000067;5;0.001025;0;0;0;0.0119
"русановская улица";1;1;21;0.095896;0.107143;0;0.000012;0.000012;4;0.000449;0;0;0;0.017868
"октябрьская набережная";5;5;20;0.106055;0.123888;0.004749;0.000073;0.000073;4;0.001625;0;0.2;2;0.077337
"проспект большевиков";7;7;20;0.110333;0.130128;0.007496;0.000144;0.000144;4;0.001938;0;0.190476;4;0.146177
"народная улица";4;4;20;0.112744;0.131044;0.006841;0.000114;0.000114;4;0.001122;0;0.5;3;0.099134
"малоохтинский проспект";2;2;20;0.109594;0.123134;0.000834;0.000054;0.000054;6;0.000762;0;0;0;0.02681
"володарский мост";3;3;19;0.113601;0.131378;0.011087;0.000139;0.000139;4;0.000962;0;0.333333;1;0.0581
"дальневосточный проспект";8;8;19;0.120887;0.142435;0.025179;0.000364;0.000364;4;0.001552;0;0.52381;11;0.190221
"улица дыбенко";1;1;21;0.099381;0.111231;0;0.000023;0.000023;4;0.000408;0;0;0;0.030379
"улица тельмана";3;3;20;0.107984;0.122908;0.000012;0.000098;0.000098;4;0.000788;0;0.666667;2;0.088249
"улица подвойского";2;2;21;0.099438;0.112385;0.00014;0.00003;0.00003;4;0.000678;0;0;0;0.044175
"улица коллонтай";8;8;19;0.112481;0.133354;0.013092;0.00021;0.00021;4;0.002137;0;0.142857;4;0.164127
"искровский проспект";4;4;20;0.108253;0.12479;0.003124;0.000109;0.000109;4;0.00101;0;0.333333;2;0.09767
"новочеркасский проспект";6;6;18;0.1332;0.156114;0.031177;0.001632;0.001632;6;0.001696;0;0.133333;2;0.141125
"улица бабушкина";10;10;17;0.131463;0.156562;0.017252;0.001455;0.001455;11;0.003253;0;0.088889;4;0.187989
"проспект александровской фермы";6;6;16;0.142528;0.168715;0.028055;0.004329;0.004328;11;0.001845;0;0.066667;1;0.19111
"улица шелгунова";3;3;17;0.130317;0.150264;0.001771;0.001051;0.001051;11;0.001;0;0.666667;2;0.103858
"ивановская улица";4;4;18;0.122874;0.143882;0.013456;0.000695;0.000695;11;0.001292;0;0;0;0.090699
"проспект елизарова";2;2;18;0.116376;0.132091;0.000064;0.000428;0.000428;11;0.000727;0;0;0;0.064071
"большой смоленский проспект";1;1;18;0.116204;0.13038;0;0.00023;0.00023;11;0.000449;0;0;0;0.038837
"рабфаковская улица";3;3;18;0.122718;0.139675;0.004608;0.000377;0.000377;11;0.001172;0;0.333333;1;0.074509
"улица чернова";3;3;18;0.122683;0.139387;0.002307;0.000377;0.000376;11;0.001167;0;0.333333;1;0.073169
"бульвар красных зорь";2;2;18;0.116376;0.132091;0.000064;0.000428;0.000428;11;0.000727;0;0;0;0.064071
"улица полярников";2;2;18;0.116376;0.132091;0.000064;0.000428;0.000428;11;0.000727;0;0;0;0.064071
"проспект обуховской обороны";8;8;17;0.134148;0.155495;0.022537;0.000868;0.000867;11;0.002723;0;0.107143;3;0.135028
"улица седова";7;7;17;0.1275;0.148712;0.00932;0.001252;0.001252;11;0.002284;0;0;0;0.11847
"улица димитрова";4;4;17;0.130888;0.153973;0.001038;0.004597;0.004596;11;0.00109;0;0.333333;2;0.187217
"путепровод александровской фермы";1;1;17;0.124766;0.139861;0;0.000684;0.000684;11;0.000434;0;0;0;0.035539
"площадь бехтерева";2;2;18;0.113185;0.126813;0.0019;0.000204;0.000204;11;0.000844;0;0;0;0.030586
"улица цимбалина";2;2;17;0.125743;0.143315;0.000377;0.00141;0.00141;11;0.000682;0;0;0;0.069135
"невский путепровод";2;2;17;0.132064;0.151853;0.006749;0.001553;0.001553;11;0.00069;0;0;0;0.066882
"таллинская улица";2;2;19;0.118605;0.133511;0.00244;0.000266;0.000266;6;0.000737;0;0;0;0.036307
"красногвардейская площадь";7;7;18;0.127388;0.150576;0.005157;0.002592;0.002592;6;0.002047;0;0.095238;2;0.129137
"комаровский мост";3;3;18;0.124694;0.142913;0.000693;0.001193;0.001193;6;0.000921;0;0.666667;2;0.074092
"заневская площадь";2;2;18;0.131423;0.148928;0;0.001029;0.001029;6;0.000666;0;1;1;0.066516
"заневский проспект";9;9;17;0.149638;0.176306;0.059138;0.004882;0.004882;6;0.002675;0;0.055556;2;0.190672
"проспект шаумяна";4;4;18;0.13069;0.149418;0.00248;0.00161;0.00161;6;0.00129;0;0;0;0.085005
"среднеохтинский проспект";3;3;17;0.131086;0.153786;0.001456;0.00451;0.00451;8;0.000904;0;0;0;0.109891
"большеохтинский мост";2;2;17;0.132731;0.14937;0.001922;0.000589;0.000589;6;0.000708;0;0;0;0.044065
"большеохтинский проспект";2;2;17;0.130888;0.152221;0.001341;0.003537;0.003537;8;0.000663;0;0;0;0.086359
"якорная улица";4;4;17;0.131284;0.15173;0.004851;0.003328;0.003328;6;0.001221;0;0.166667;1;0.08672
"магнитогорская улица";2;2;18;0.126054;0.142824;0.000336;0.00233;0.00233;8;0.000683;0;0;0;0.060895
"казанская улица";2;2;19;0.115631;0.127796;0.000008;0.000386;0.000386;6;0.000766;0;0;0;0.028798
"проспект энергетиков";7;7;17;0.143757;0.170471;0.020195;0.013136;0.013136;8;0.001946;0;0;0;0.236128
"шоссе революции";10;10;16;0.147449;0.179889;0.028184;0.019793;0.019793;8;0.002844;0;0.022222;1;0.336003
"екатерининский проспект";2;2;17;0.131006;0.14961;0.000319;0.005852;0.005852;8;0.000642;0;0;0;0.087626
"бестужевская улица";5;5;16;0.13921;0.1639;0.00458;0.020921;0.020921;8;0.001339;0;0.2;2;0.243322
"большая пороховская улица";4;4;17;0.13469;0.156985;0.000973;0.006152;0.006152;8;0.001135;0;0;0;0.126798
"проспект маршала блюхера";8;8;16;0.143543;0.170772;0.022289;0.023192;0.023192;8;0.002319;0;0;0;0.257191
"гранитная улица";2;2;18;0.130219;0.145872;0.001006;0.000833;0.000833;6;0.000751;0;0;0;0.04539
"проспект косыгина";4;4;16;0.143093;0.16486;0.011462;0.003467;0.003467;8;0.001132;0;0;0;0.147331
"заневский мост";1;1;18;0.13018;0.145103;0;0.000772;0.000772;6;0.000425;0;0;0;0.037726
"дворцовый мост";3;3;17;0.141459;0.156462;0.053502;0.000476;0.000476;1;0.00117;0;0;0;0.033556
"менделеевская линия";1;1;19;0.11366;0.12379;0;0.000014;0.000014;0;0.000472;0;0;0;0.015562
"площадь стачек";1;1;17;0.133016;0.147287;0;0.001173;0.001173;7;0.000491;0;0;0;0.025164
"мичманская улица";2;2;22;0.082313;0.091653;0.001152;0;0;0;0.000858;0;0;0;0.022544
"прибалтийская площадь";2;2;22;0.082313;0.091653;0.001152;0;0;0;0.000858;0;0;0;0.022544
"наличный мост";2;2;22;0.082336;0.091807;0.000003;0;0;0;0.000771;0;0;0;0.026599
"биржевая площадь";2;2;18;0.125398;0.136454;0.004565;0.000077;0.000077;1;0.000873;0;0;0;0.016536
"улица бехтерева";2;2;19;0.104232;0.115045;0.000261;0.000037;0.000037;11;0.000928;0;0;0;0.013692
"хрустальная улица";2;2;19;0.106016;0.115925;0.000664;0.000028;0.000028;11;0.000932;0;0;0;0.014395
"улица профессора качалова";2;2;18;0.118394;0.131674;0.002723;0.000142;0.000142;11;0.000858;0;0;0;0.034938
"шлиссельбургский мост";1;1;18;0.118297;0.130463;0;0.000137;0.000137;11;0.000462;0;0;0;0.029482
"синопская набережная";2;2;18;0.129114;0.143854;0.006232;0.000294;0.000294;11;0.000782;0;0;0;0.039035
"шлиссельбургский проспект";4;4;16;0.142318;0.161221;0.02363;0.001657;0.001657;17;0.001121;0;0;0;0.071354
"херсонская улица";3;3;17;0.139501;0.154254;0.007398;0.000994;0.000994;6;0.001128;0;0;0;0.036581
"автобусный переулок";1;1;17;0.105719;0.117068;0;0.000723;0.000723;9;0.0005;0;0;0;0.011661
"автобусная улица";3;3;16;0.1182;0.135826;0.002365;0.004576;0.004576;9;0.001154;0;0;0;0.051513
"ново-никитская улица";2;2;15;0.129326;0.148047;0.002221;0.012038;0.012038;9;0.000723;0;0;0;0.080005
"улица маршала новикова";6;6;15;0.129287;0.15404;0.005302;0.016196;0.016196;9;0.001762;0;0;0;0.169802
"шуваловский проспект";10;10;14;0.147952;0.178721;0.010457;0.071601;0.0716;9;0.002621;0;0.088889;4;0.417537
"парашютная улица";9;9;14;0.143211;0.172508;0.020978;0.03272;0.03272;9;0.002687;0;0.027778;1;0.260175
"комендантский проспект";6;6;14;0.153018;0.184499;0.014655;0.048579;0.048579;9;0.001632;0;0.066667;1;0.268095
"проспект авиаконструкторов";3;3;15;0.129172;0.148634;0.000046;0.019651;0.019651;9;0.000883;0;0;0;0.123096
"планерная улица";8;8;13;0.168841;0.202753;0.023647;0.098815;0.098815;9;0.002003;0;0.107143;3;0.480151
"мебельная улица";3;3;14;0.149328;0.172106;0.002645;0.028491;0.028491;9;0.001007;0;0;0;0.151587
"богатырский проспект";9;9;14;0.151177;0.180779;0.005883;0.068875;0.068875;9;0.002205;0;0.138889;5;0.402606
"улица оптиков";6;6;14;0.149741;0.175682;0.002611;0.062096;0.062096;9;0.001489;0;0.133333;2;0.330239
"проспект авиакострукторов";2;2;15;0.128941;0.14675;0.000021;0.014639;0.014639;9;0.000655;0;0;0;0.087748
"камышовая улица";6;6;14;0.149819;0.176028;0.001623;0.067174;0.067173;9;0.001484;0;0.333333;5;0.357613
"коломяжский проспект";8;8;14;0.148256;0.176753;0.018283;0.0332;0.0332;9;0.002156;0;0.035714;1;0.274972
"солунская улица";2;2;15;0.125488;0.143181;0.001571;0.005346;0.005346;9;0.000795;0;0;0;0.053199
"репищева улица";3;3;15;0.125507;0.14419;0.001019;0.006376;0.006376;9;0.001027;0;0;0;0.070684
"улица летчика паршина";2;2;15;0.125507;0.143151;0.007316;0.005307;0.005307;9;0.000842;0;0;0;0.052742
"долгоозерная улица";2;2;15;0.125398;0.143075;0.000018;0.007566;0.007566;9;0.000667;0;0;0;0.074852
"дорога в каменку";2;2;15;0.148739;0.16971;0.006306;0.012874;0.012874;12;0.000731;0;0;0;0.071627
"проспект испытателей";6;6;15;0.143022;0.169583;0.009142;0.02785;0.02785;9;0.001604;0;0.066667;1;0.188107
"коломяжский путепровод";2;2;15;0.129422;0.147477;0;0.008167;0.008167;9;0.00064;0;1;1;0.08595
"проспект королёва";8;8;14;0.135257;0.159767;0.0055;0.01848;0.01848;9;0.00224;0;0.071429;2;0.194981
"проспект королева";5;5;14;0.13511;0.157268;0.002083;0.01516;0.01516;9;0.001415;0;0;0;0.148723
"светлановская площадь";3;3;14;0.15801;0.186631;0.009803;0.075427;0.075427;9;0.00083;0;0;0;0.242457
"комендантская площадь";5;5;15;0.134858;0.159744;0.001283;0.023883;0.023883;9;0.001307;0;0.2;2;0.163341
"улица уточкина";4;4;15;0.128616;0.149388;0.000787;0.012242;0.012242;9;0.001112;0;0.333333;2;0.117697
"серебристый бульвар";2;2;15;0.135766;0.156156;0.00017;0.015286;0.015286;9;0.000608;0;0;0;0.099084
"светлановский проспект";8;8;15;0.155293;0.185227;0.011701;0.133227;0.133227;10;0.001978;0;0.035714;1;0.436774
"проспект тореза";3;3;16;0.137663;0.157756;0.00099;0.033306;0.033307;10;0.000894;0;0;0;0.116501
"тихорецкий проспект";4;4;16;0.137663;0.160209;0.003507;0.048943;0.048944;10;0.001114;0;0.166667;1;0.185149
"суздальский проспект";6;6;16;0.144332;0.170883;0.00123;0.099081;0.099081;10;0.001575;0;0;0;0.323421
"учительская улица";2;2;16;0.134523;0.152372;0.000018;0.036337;0.036337;10;0.000614;0;0;0;0.112887
"проспект луначарского";9;9;14;0.179615;0.216946;0.051946;0.223365;0.223366;10;0.002231;0;0.055556;2;0.697687
"северный проспект";10;10;16;0.143306;0.17112;0.004795;0.097487;0.097488;10;0.001993;0;0.25;9;0.412604
"проспект просвещения";13;13;14;0.164579;0.204129;0.031704;0.229099;0.2291;10;0.003288;0;0.012821;1;0.729978
"площадь мужества";2;2;16;0.12854;0.14654;0.000449;0.011818;0.011818;10;0.00067;0;0;0;0.059379
"улица есенина";5;5;15;0.141759;0.166844;0.001824;0.065715;0.065715;10;0.001332;0;0;0;0.230194
"крестовский проспект";4;4;21;0.081096;0.089253;0.007017;0;0;1;0.001959;0;0;0;0.02163
"рюхина улица";2;2;20;0.088101;0.095757;0.004624;0;0;1;0.000986;0;0;0;0.015425
"спортивная улица";2;2;20;0.088101;0.095757;0.004624;0;0;1;0.000986;0;0;0;0.015425
"южная дорога";2;2;22;0.075097;0.081712;0.00245;0;0;1;0.001055;0;0;0;0.013321
2-й парковый мост;1;1;22;0.075019;0.080291;0;0;0;1;0.000589;0;0;0;0.008379
"морской проспект";3;3;19;0.096451;0.105538;0.013801;0.000001;0.000001;1;0.001399;0;0;0;0.018244
"петроградская улица";2;2;18;0.106524;0.116805;0.016063;0.000007;0.000007;1;0.000915;0;0;0;0.017241
"большой крестовский мост";3;3;17;0.118946;0.132754;0.020719;0.000041;0.000041;1;0.001218;0;0;0;0.036206
"большая зеленина улица";3;3;16;0.12114;0.134113;0.020067;0.000075;0.000075;1;0.00125;0;0;0;0.027545
"песочная набережная";4;4;17;0.116158;0.129473;0.006929;0.000042;0.000042;1;0.001599;0;0;0;0.044919
"мытнинская набережная";2;2;18;0.112481;0.123455;0.000873;0.00001;0.00001;1;0.000862;0;0;0;0.022507
"переулок талалихина";2;2;17;0.116235;0.127752;0.000661;0.000028;0.000028;1;0.000848;0;0;0;0.022885
"зоологический переулок";2;2;18;0.108483;0.119078;0.000927;0.000008;0.000008;1;0.000884;0;0;0;0.020973
"биржевой мост";3;3;19;0.114804;0.125393;0.002991;0.000014;0.000014;1;0.0013;0;0;0;0.018746
"площадь академика лихачёва";2;2;19;0.106472;0.115199;0.000361;0.000003;0.000003;1;0.000917;0;0;0;0.013895
"измайловский мост";2;2;18;0.117831;0.127277;0.000155;0.000096;0.000096;7;0.000982;0;0;0;0.011145
"измайловский проспект";2;2;17;0.129268;0.141501;0.001857;0.000514;0.000514;7;0.000966;0;0;0;0.016587
"троицкий проспект";2;2;16;0.147952;0.165751;0.004065;0.003157;0.003157;7;0.000885;0;0;0;0.053904
"площадь балтийского вокзала";3;3;16;0.151072;0.171776;0.000096;0.005145;0.005145;7;0.001089;0;0.666667;2;0.093215
"могилёвский мост";1;1;16;0.147776;0.164483;0;0.003075;0.003075;7;0.000474;0;0;0;0.048188
"египетский мост";1;1;16;0.147776;0.164483;0;0.003075;0.003075;7;0.000474;0;0;0;0.048188
"ново-петергофский мост";2;2;16;0.147801;0.165059;0;0.003888;0.003888;7;0.000783;0;1;1;0.066346
"набережная реки фонтанки";2;2;15;0.148484;0.166064;0.0045;0.00316;0.00316;7;0.000889;0;0;0;0.053897
"проспект славы";8;8;16;0.147174;0.175941;0.017234;0.009134;0.009133;11;0.00228;0;0.035714;1;0.272224
"гамбургская площадь";2;2;16;0.14169;0.162473;0;0.004343;0.004343;11;0.00065;0;1;1;0.113421
"бухарестская улица";8;8;17;0.132751;0.159524;0.003861;0.007257;0.007257;11;0.002067;0;0.107143;3;0.293704
"пражская улица";2;2;17;0.128349;0.145391;0.000136;0.001955;0.001955;11;0.000668;0;0;0;0.06969
"проезд вдоль станции ""сортировочная""";1;1;17;0.128311;0.144622;0;0.001443;0.001443;11;0.000415;0;0;0;0.047427
"проспект юрия гагарина";5;5;15;0.159053;0.184887;0.002659;0.017492;0.017492;3;0.001303;0;0.3;3;0.260263
"звёздная улица";4;4;15;0.148205;0.171648;0.002115;0.013965;0.013965;3;0.001107;0;0;0;0.199607
"свирская улица";2;2;15;0.155043;0.17629;0;0.011565;0.011564;3;0.000614;0;1;1;0.148968
"проспект солидарности";3;3;20;0.101179;0.115055;0.000199;0.000047;0.000047;4;0.000953;0;0.333333;1;0.060479
"улица кржижановского";4;4;20;0.10119;0.115631;0.00074;0.000059;0.000059;4;0.001248;0;0.166667;1;0.067994
"российский проспект";6;6;18;0.113959;0.133494;0.015929;0.000454;0.000454;4;0.001824;0;0.066667;1;0.091397
"товарищевский проспект";2;2;20;0.101143;0.114094;0.000362;0.000038;0.000038;4;0.000681;0;0;0;0.044915
"товарищеский проспект";3;3;19;0.106146;0.12145;0.00157;0.00011;0.00011;4;0.00094;0;0.333333;1;0.065742
"проспект пятилеток";2;2;19;0.102361;0.11517;0.001496;0.000074;0.000074;4;0.000566;0;0;0;0.028677
"улица латышских стрелков";2;2;19;0.102373;0.115362;0.000463;0.000081;0.000081;4;0.000696;0;0;0;0.036634
"российский мост";1;1;19;0.102313;0.114113;0;0.000072;0.000072;4;0.000431;0;0;0;0.020826
"российский путепровод";3;3;17;0.123083;0.143139;0.01553;0.002327;0.002327;8;0.000898;0;0.333333;1;0.096201
"улица ворошилова";4;4;20;0.095918;0.106138;0.000193;0.000015;0.000015;4;0.000636;0;0.666667;2;0.023629
"улица бадаева";2;2;21;0.097734;0.109173;0.000998;0.00002;0.00002;4;0.000522;0;0;0;0.028165
"софийская площадь";2;2;16;0.139188;0.159159;0;0.004112;0.004112;11;0.000639;0;1;1;0.109895
"улица белы куна";7;7;16;0.140564;0.165517;0.005088;0.007668;0.007668;11;0.001908;0;0.142857;3;0.251749
"грузовой проезд";2;2;16;0.138987;0.157948;0.002307;0.002974;0.002974;11;0.000868;0;0;0;0.070203
"улица салова";7;7;16;0.14569;0.173955;0.011688;0.005979;0.005979;11;0.002043;0;0.047619;1;0.210042
"шушары";8;8;14;0.175719;0.209155;0.057161;0.047386;0.047385;3;0.001395;0;0.066667;1;0.500036
"улица турку";3;3;17;0.127613;0.147285;0.000055;0.00342;0.00342;11;0.000876;0;0.666667;2;0.123012
"белградская улица";3;3;17;0.128046;0.146723;0.000216;0.002697;0.002697;11;0.000901;0;0.333333;1;0.104307
"алмазный мост";1;1;17;0.127182;0.143369;0;0.000945;0.000945;11;0.000421;0;0;0;0.038389
"волковский проспект";7;7;16;0.142201;0.166269;0.008848;0.003482;0.003482;11;0.002015;0;0.190476;4;0.166765
"улица самойловой";2;2;17;0.127294;0.144542;0.000305;0.001077;0.001077;11;0.000705;0;0;0;0.051296
"новоизмайловский проспект";3;3;16;0.136643;0.157657;0.000234;0.002722;0.002722;3;0.000922;0;0;0;0.071498
"улица пилотов";1;1;16;0.125707;0.138721;0;0.000702;0.000702;13;0.000562;0;0;0;0.0112
"большой петровский мост";2;2;23;0.069925;0.075904;0.000444;0;0;1;0.001094;0;0;0;0.010436
"улица савиной";2;2;22;0.070677;0.076381;0.000333;0;0;1;0.001114;0;0;0;0.009757
"петровская площадь";2;2;21;0.075939;0.081785;0.002221;0;0;1;0.001118;0;0;0;0.009644
"петровский проспект";2;2;20;0.082048;0.088213;0.004485;0;0;1;0.001113;0;0;0;0.009639
"новоладожская улица";2;2;19;0.089225;0.095958;0.00675;0;0;1;0.001092;0;0;0;0.009723
"улица красного курсанта";2;2;18;0.0978;0.105533;0.00902;0.000002;0.000002;1;0.001051;0;0;0;0.010307
"корпусная улица";2;2;17;0.108226;0.117717;0.011295;0.000012;0.000012;1;0.000973;0;0;0;0.013486
"улица воскова";5;5;13;0.161573;0.181946;0.050669;0.013887;0.013887;16;0.001739;0;0.1;1;0.103443
"дубковское шоссе";3;3;13;0.153614;0.170576;0.007345;0.010304;0.010304;16;0.00119;0;0;0;0.059186
"улица володарского";7;7;13;0.168546;0.191924;0.022642;0.025083;0.025083;16;0.00226;0;0.047619;1;0.168206
"улица мосина";5;5;12;0.178029;0.205052;0.049298;0.047848;0.047848;16;0.001633;0;0.1;1;0.228717
"большая монетная улица";2;2;17;0.105129;0.112976;0.000604;0.000048;0.000048;5;0.00106;0;0;0;0.010131
"улица чапаева";2;2;17;0.110025;0.119038;0.001483;0.000239;0.000239;5;0.001064;0;0;0;0.010124
"гренадерский мост";2;2;16;0.122061;0.133257;0.003498;0.001464;0.001464;5;0.001036;0;0;0;0.013118
"гренадерская улица";2;2;15;0.138565;0.154051;0.005738;0.009024;0.009024;5;0.000967;0;0;0;0.034489
"большой сампсониевский проспект";5;5;14;0.160318;0.185265;0.025642;0.05564;0.05564;5;0.002083;0;0;0;0.172562
"улица смолячкова";2;2;15;0.138278;0.153594;0.004608;0.009024;0.009024;5;0.001031;0;0;0;0.034092
"финляндский проспект";2;2;15;0.142458;0.157702;0.0082;0.009026;0.009026;5;0.000924;0;0;0;0.035215
"боткинская улица";1;1;15;0.138189;0.152537;0;0.008793;0.008793;5;0.000527;0;0;0;0.029253
"лесной проспект";2;2;16;0.121531;0.132106;0.002307;0.001463;0.001463;5;0.001187;0;0;0;0.01133
"белорусская улица";1;1;17;0.116673;0.127735;0;0.000347;0.000347;8;0.000468;0;0;0;0.017787
"ленская улица";3;3;16;0.132064;0.149794;0.002487;0.002196;0.002196;8;0.00104;0;0;0;0.08994
"улица коммуны";11;11;15;0.152025;0.181861;0.048786;0.009896;0.009896;8;0.00305;0;0.018182;1;0.298099
"проспект наставников";6;6;17;0.126238;0.144953;0.001193;0.00365;0.00365;8;0.001654;0;0;0;0.159789
"хасанская улица";4;4;16;0.133528;0.15433;0.010111;0.004114;0.004114;8;0.001125;0;0.166667;1;0.151218
"рябовское шоссе";3;3;16;0.133405;0.151921;0.011245;0.001684;0.001684;17;0.001206;0;0;0;0.06759
"проспект ударников";4;4;16;0.132772;0.152712;0.000862;0.004301;0.004301;8;0.001107;0;0.166667;1;0.156979
"проспект энтузиастов";4;4;16;0.132772;0.152712;0.000862;0.004301;0.004301;8;0.001107;0;0.166667;1;0.156979
"ириновский проспект";4;4;16;0.133858;0.155694;0.001467;0.004718;0.004718;8;0.001112;0;0;0;0.155856
"улица химиков";2;2;16;0.1366;0.157521;0;0.004692;0.004692;8;0.00065;0;1;1;0.114116
"павловская улица";3;3;14;0.157694;0.180065;0.028692;0.007837;0.007837;14;0.000978;0;0;0;0.102559
"адмиралтейская улица";5;5;15;0.151626;0.174321;0.013267;0.005521;0.005521;14;0.001525;0;0.1;1;0.122091
"индустриальный проспект";9;9;17;0.130083;0.156614;0.012175;0.010157;0.010157;8;0.002413;0;0.083333;3;0.261048
"проспект металлистов";5;5;16;0.137162;0.163028;0.007917;0.016567;0.016567;8;0.001371;0;0;0;0.197401
"тульская улица";5;5;16;0.147024;0.166438;0.009713;0.001134;0.001134;6;0.001687;0;0;0;0.06967
"новгородская улица";4;4;17;0.142271;0.159164;0.002241;0.000864;0.000864;6;0.001415;0;0;0;0.049532
"мост петра великого";2;2;17;0.134211;0.14986;0.002642;0.000705;0.000705;6;0.000719;0;0;0;0.035108
"улица бонч-бруевича";2;2;17;0.128425;0.14123;0.000583;0.000218;0.000218;6;0.000787;0;0;0;0.025607
8-я советская улица;2;2;17;0.134024;0.14863;0.000761;0.000372;0.000372;6;0.000796;0;0;0;0.025588
"улица моисеенко";2;2;16;0.142341;0.157536;0.000217;0.000895;0.000895;6;0.000746;0;0;0;0.042682
"греческий проспект";2;2;17;0.132225;0.146578;0.000311;0.000364;0.000364;6;0.000835;0;0;0;0.021953
"пулковская улица";3;3;16;0.131683;0.14881;0.002327;0.005206;0.005206;3;0.001024;0;0;0;0.083117
"звездная улица";1;1;17;0.116376;0.127299;0;0.000823;0.000823;3;0.000463;0;0;0;0.015639
"кронштадская улица";1;1;16;0.130868;0.145702;0;0.000977;0.000977;2;0.000465;0;0;0;0.025253
"угольный мост";2;2;17;0.122147;0.135862;0.002307;0.000587;0.000587;2;0.001097;0;0;0;0.02015
"дорога в угольную гавань";1;1;18;0.108865;0.118087;0;0.000093;0.000093;2;0.000639;0;0;0;0.005947
"улица стойкости";1;1;17;0.121174;0.135078;0;0.000853;0.000853;2;0.00042;0;0;0;0.031246
"аннинское шоссе";3;3;15;0.164547;0.187496;0.003717;0.020421;0.020421;13;0.00117;0;0;0;0.114581
"сапёрная улица";3;3;15;0.159639;0.18101;0.00256;0.016907;0.016907;13;0.001179;0;0;0;0.101061
"парковая улица";11;11;13;0.204771;0.244215;0.120631;0.10948;0.10948;3;0.003138;0;0;0;0.569631
"карлинский путепровод";1;1;15;0.159316;0.178703;0;0.012749;0.012749;13;0.000456;0;0;0;0.071477
"малое карлино";1;1;15;0.159316;0.178703;0;0.012749;0.012749;13;0.000456;0;0;0;0.071477
"пушкинское шоссе";3;3;15;0.170569;0.199177;0.007347;0.059718;0.059718;13;0.000948;0;0;0;0.230337
"старогатчинское шоссе";1;1;15;0.159316;0.178703;0;0.012749;0.012749;13;0.000456;0;0;0;0.071477
"заречная улица";5;5;14;0.177591;0.204832;0.014564;0.04532;0.04532;18;0.001677;0;0.1;1;0.227988
"улица политрука пасечника";1;1;16;0.14132;0.155011;0;0.003227;0.003227;13;0.000504;0;0;0;0.020328
"улица шишкина";1;1;15;0.150835;0.166186;0;0.007162;0.007162;18;0.000458;0;0;0;0.03789
"центральная улица";11;11;14;0.180475;0.217315;0.055757;0.091375;0.091375;18;0.003685;0;0.036364;2;0.394592
"токсовское шоссе";6;6;15;0.169967;0.200302;0.017089;0.058342;0.058342;18;0.001806;0;0.133333;2;0.275512
